"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00050848","BOULDER, CO US","2021-09-20","0.00","0.0","79","53"
"USC00050848","BOULDER, CO US","2021-09-21","0.08","0.0","66","37"
"USC00050848","BOULDER, CO US","2021-09-22","0.00","0.0","79","39"
"USC00050848","BOULDER, CO US","2021-09-23","0.00","0.0","83","50"
"USC00050848","BOULDER, CO US","2021-09-24","0.00","0.0","73","45"
"USC00050848","BOULDER, CO US","2021-09-25","0.00","0.0","87","42"
"USC00050848","BOULDER, CO US","2021-09-26","0.00","0.0","90","53"
"USC00050848","BOULDER, CO US","2021-09-27","0.00","0.0","88","45"
"USC00050848","BOULDER, CO US","2021-09-28","0.00","0.0","82","57"
"USC00050848","BOULDER, CO US","2021-09-29","0.31","0.0","71","52"
"USC00050848","BOULDER, CO US","2021-09-30","0.05","0.0","54","42"
"USC00050848","BOULDER, CO US","2021-10-01","0.00","0.0","67","41"
"USC00050848","BOULDER, CO US","2021-10-02","0.00","0.0","72","43"
"USC00050848","BOULDER, CO US","2021-10-03","0.00","0.0","79","43"
"USC00050848","BOULDER, CO US","2021-10-04","0.00","0.0","82","47"
"USC00050848","BOULDER, CO US","2021-10-05","0.00","0.0","83","43"
"USC00050848","BOULDER, CO US","2021-10-06","0.00","0.0","77","43"
"USC00050848","BOULDER, CO US","2021-10-07","0.00","0.0","79","48"
"USC00050848","BOULDER, CO US","2021-10-08","0.00","0.0","76","46"
"USC00050848","BOULDER, CO US","2021-10-09","0.00","0.0","68","48"
"USC00050848","BOULDER, CO US","2021-10-10","0.00","0.0","70","38"
"USC00050848","BOULDER, CO US","2021-10-11","0.00","0.0","70","38"
"USC00050848","BOULDER, CO US","2021-10-12","0.04","0.0","54","38"
"USC00050848","BOULDER, CO US","2021-10-13","0.08","0.0","61","33"
"USC00050848","BOULDER, CO US","2021-10-14","0.02","0.0","50","30"
"USC00050848","BOULDER, CO US","2021-10-15","0.00","0.0","56","26"
"USC00050848","BOULDER, CO US","2021-10-16","0.00","0.0","71","31"
"USC00050848","BOULDER, CO US","2021-10-17","0.00","0.0","75","35"
"USC00050848","BOULDER, CO US","2021-10-18","0.00","0.0","76","43"
"USC00050848","BOULDER, CO US","2021-10-19","0.00","0.0","65","37"
"USC00050848","BOULDER, CO US","2021-10-20","0.00","0.0","65","27"
"USC00050848","BOULDER, CO US","2021-10-21","0.00","0.0","63","34"
"USC00050848","BOULDER, CO US","2021-10-22","0.00","0.0","75","34"
"USC00050848","BOULDER, CO US","2021-10-23","0.00","0.0","73","39"
"USC00050848","BOULDER, CO US","2021-10-24","0.00","0.0","70","36"
"USC00050848","BOULDER, CO US","2021-10-25","0.00","0.0","73","36"
"USC00050848","BOULDER, CO US","2021-10-26","0.02","0.0","71","38"
"USC00050848","BOULDER, CO US","2021-10-27","0.00","0.0","59","32"
"USC00050848","BOULDER, CO US","2021-10-28","0.00","0.0","59","34"
"USC00050848","BOULDER, CO US","2021-10-29","0.00","0.0","76","36"
"USC00050848","BOULDER, CO US","2021-10-30","0.00","0.0","76","43"
"USC00050848","BOULDER, CO US","2021-10-31","0.01","0.0","55","36"
"USC00050848","BOULDER, CO US","2021-11-01","0.01","0.0","39","33"
"USC00050848","BOULDER, CO US","2021-11-02","0.01","0.0","44","33"
"USC00050848","BOULDER, CO US","2021-11-03","0.01","0.0","61","35"
"USC00050848","BOULDER, CO US","2021-11-04","0.00","0.0","70","32"
"USC00050848","BOULDER, CO US","2021-11-05","0.00","0.0","75","45"
"USC00050848","BOULDER, CO US","2021-11-06","0.00","0.0","75","35"
"USC00050848","BOULDER, CO US","2021-11-07","0.00","0.0","78","44"
